image	obs	obj	ra	dec	date-obs	jd	filter	stdnumb	zp	zper	seeing	skyval	skysig	ul_3sig	ul_5sig	mag	magerr	aper_dia_pix
Calib-SAO_C361K-GRB221009A-20221011-103404-I-2520.com.fits	SAO_C361K	GRB221009A	288.2645622	19.7734034	2022-10-11T10:34:04.800	2459863.9403333333	I	989	25.012	0.021	1.374	62.099	1.096	21.229	20.675	18.226	0.052	11.18
Calib-SAO_C361K-GRB221009A-20221011-110325-B-840.com.fits	SAO_C361K	GRB221009A	288.26452	19.7735	2022-10-11T11:03:25.714	2459863.9607142825	B	63	26.011	0.032	2.006	1196.49	5.998	20.668	20.113	-99.0	-99.0	8.6
Calib-SAO_C361K-GRB221009A-20221011-111749-V-840.com.fits	SAO_C361K	GRB221009A	288.26452	19.7735	2022-10-11T11:17:49.714	2459863.9707142822	V	275	26.194	0.022	1.883	1678.3	7.332	20.664	20.109	-99.0	-99.0	8.36
Calib-SAO_C361K-GRB221009A-20221011-113238-R-840.com.fits	SAO_C361K	GRB221009A	288.2646013	19.7734156	2022-10-11T11:32:38.400	2459863.981	R	687	26.196	0.024	1.544	1165.47	6.303	20.93	20.375	19.332	0.096	7.63
Calib-SAO_C361K-GRB221009A-20221012-105247-V-3720.com.fits	SAO_C361K	GRB221009A	288.26452	19.7735	2022-10-12T10:52:47.071	2459864.953322581	V	468	26.247	0.027	2.053	1575.35	3.66	21.272	20.718	-99.0	-99.0	10.04
Calib-SAO_C361K-GRB221009A-20221012-115732-R-3720.com.fits	SAO_C361K	GRB221009A	288.26452	19.7735	2022-10-12T11:57:32.284	2459864.998290324	R	711	26.207	0.026	2.358	1228.14	3.419	21.126	20.572	-99.0	-99.0	11.85
Calib-SAO_C361K-GRB221009A-20221012-130214-I-3720.com.fits	SAO_C361K	GRB221009A	288.2642997	19.7733282	2022-10-12T13:02:14.710	2459865.0432258104	I	585	24.837	0.038	2.982	74.098	1.103	20.503	19.949	19.192	0.136	18.46
