image	obs	obj	ra	dec	date-obs	jd	filter	stdnumb	zp	zper	seeing	skyval	skysig	ul_3sig	ul_5sig	mag	magerr	aper_dia_pix
trCalib-LOAO-GRB221009A-20221010-042606-y-300.com.fits	LOAO	GRB221009A	288.2646531	19.7732263	2022-10-10T04:26:06.720	2459862.6848	y	89	23.393	0.036	2.559	0.018	9.311	18.172	17.617	15.598	0.053	4.95
trCalib-LOAO-GRB221009A-20221011-033921-y-720.com.fits	LOAO	GRB221009A	288.2646636	19.7733997	2022-10-11T03:39:21.600	2459863.652333333	y	135	24.234	0.033	2.301	0.027	13.837	18.703	18.149	17.077	0.091	4.43
trCalib-LOAO-GRB221009A-20221012-024116-y-1080.com.fits	LOAO	GRB221009A	288.2646913	19.7732056	2022-10-12T02:41:16.800	2459864.612	y	148	24.305	0.028	2.501	-1.849	10.383	18.929	18.375	17.948	0.153	5.12
trCalib-LOAO-GRB221009A-20221013-032423-y-1800.com.fits	LOAO	GRB221009A	288.2646564	19.7732778	2022-10-13T03:24:23.040	2459865.641933333	y	122	24.064	0.032	2.834	-1.488	9.285	18.716	18.162	18.51	0.308	5.58
trCalib-LOAO-GRB221009A-20221014-032647-y-1800.com.fits	LOAO	GRB221009A	288.2645925	19.7732952	2022-10-14T03:26:47.040	2459866.6436	y	156	24.381	0.03	2.449	-1.693	8.812	19.152	18.597	18.6	0.226	5.27
