image	obs	obj	ra	dec	date-obs	jd	filter	stdnumb	zp	zper	seeing	skyval	skysig	ul_3sig	ul_5sig	mag	magerr	aper_dia_pix
hdCalib-LOAO-GRB221009A-20221010-042331-I-300.com.fits	LOAO	GRB221009A	288.2646085	19.7734513	2022-10-10T04:23:31.200	2459862.683	I	1519	26.797	0.052	2.42	2699.87	37.55	20.119	19.564	16.451	0.053	4.7
hdCalib-LOAO-GRB221009A-20221011-033852-I-720.com.fits	LOAO	GRB221009A	288.2646027	19.7734464	2022-10-11T03:38:52.800	2459863.652	I	2030	27.655	0.059	2.433	1688.3	56.436	20.608	20.053	18.009	0.066	4.39
hdCalib-LOAO-GRB221009A-20221012-024048-I-1080.com.fits	LOAO	GRB221009A	288.264622	19.7733947	2022-10-12T02:40:48.000	2459864.611666667	I	1945	27.674	0.053	2.717	1611.21	43.675	20.749	20.194	18.846	0.069	5.07
hdCalib-LOAO-GRB221009A-20221013-032428-I-1800.com.fits	LOAO	GRB221009A	288.2644732	19.7733876	2022-10-13T03:24:28.800	2459865.642	I	1775	27.413	0.048	2.759	1092.92	39.95	20.575	20.02	19.55	0.114	5.12
hdCalib-LOAO-GRB221009A-20221014-032715-I-1800.com.fits	LOAO	GRB221009A	288.2646148	19.7733861	2022-10-14T03:27:15.840	2459866.6439333335	I	2045	27.649	0.047	2.505	1028.15	39.407	20.893	20.339	20.166	0.137	4.81
hdCalib-LOAO-GRB221009A-20221017-034846-I-1800.com.fits	LOAO	GRB221009A	288.2644125	19.7732854	2022-10-17T03:48:46.080	2459869.6588666667	I	2016	26.914	0.046	2.428	150.58	18.184	20.956	20.401	20.856	0.253	5.0
hdCalib-LOAO-GRB221009A-20221021-024337-I-3600.com.fits	LOAO	GRB221009A	288.26452	19.7735	2022-10-21T02:43:37.920	2459873.6136333332	I	2277	26.96	0.049	2.244	479.305	13.451	21.356	20.801	-99.0	-99.0	4.88
