image	obs	obj	ra	dec	date-obs	jd	filter	stdnumb	zp	zper	seeing	skyval	skysig	ul_3sig	ul_5sig	mag	magerr	aper_dia_pix
hdCalib-KCT_STX16803-GRB221009A-20221011-000339-i-1320.com.fits	KCT_STX16803	GRB221009A	288.26452	19.7735	2022-10-11T00:03:39.927	2459863.5025454513	i	70	23.972	0.04	4.989	341.234	5.104	18.328	17.773	-99	-99	13.33
hdCalib-KCT_STX16803-GRB221009A-20221012-002105-i-2700.com.fits	KCT_STX16803	GRB221009A	288.26452	19.7735	2022-10-12T00:21:05.280	2459864.5146444445	i	73	23.296	0.05	4.089	143.277	2.179	18.566	18.012	-99	-99	13.46
hdCalib-KCT_STX16803-GRB221009A-20221014-004534-i-2700.com.fits	KCT_STX16803	GRB221009A	288.26452	19.7735	2022-10-14T00:45:34.080	2459866.5316444444	i	72	23.28	0.043	4.247	47.713	1.962	18.647	18.092	-99	-99	13.67
