image	obs	obj	ra	dec	date-obs	jd	filter	stdnumb	zp	zper	seeing	skyval	skysig	ul_3sig	ul_5sig	mag	magerr	aper_dia_pix
trCalib-LOAO-GRB221009A-20221010-042440-z-300.com.fits	LOAO	GRB221009A	288.2645975	19.7734867	2022-10-10T04:24:40.320	2459862.6838	z	140	25.309	0.034	2.335	1.282	27.402	19.003	18.448	16.009	0.042	4.57
trCalib-LOAO-GRB221009A-20221011-033921-z-720.com.fits	LOAO	GRB221009A	288.2645905	19.773467	2022-10-11T03:39:21.600	2459863.652333333	z	132	26.165	0.026	2.177	3.599	31.534	19.79	19.236	17.428	0.05	4.23
trCalib-LOAO-GRB221009A-20221012-024057-z-1080.com.fits	LOAO	GRB221009A	288.2644764	19.7736253	2022-10-12T02:40:57.600	2459864.611777778	z	126	26.234	0.033	2.449	-8.875	24.607	19.965	19.41	18.165	0.08	4.92
trCalib-LOAO-GRB221009A-20221013-032411-z-1800.com.fits	LOAO	GRB221009A	288.2645908	19.7734666	2022-10-13T03:24:11.520	2459865.6418	z	122	25.998	0.031	2.493	-11.611	22.325	19.81	19.255	18.694	0.14	5.03
trCalib-LOAO-GRB221009A-20221014-032629-z-1800.com.fits	LOAO	GRB221009A	288.2645001	19.7735184	2022-10-14T03:26:29.760	2459866.6434	z	107	26.234	0.031	2.38	-14.599	22.039	20.071	19.516	19.004	0.14	4.98
trCalib-LOAO-GRB221009A-20221017-034846-z-1800.com.fits	LOAO	GRB221009A	288.2644531	19.7735196	2022-10-17T03:48:46.080	2459869.6588666667	z	93	25.545	0.025	2.453	-5.334	10.883	20.019	19.464	19.061	0.168	5.61
trCalib-LOAO-GRB221009A-20221022-024550-z-2460.com.fits	LOAO	GRB221009A	288.2644469	19.7736658	2022-10-22T02:45:50.751	2459874.6151707293	z	100	25.495	0.032	2.548	-1.555	8.601	20.155	19.6	20.477	0.51	5.98
