image	obs	obj	ra	dec	date-obs	jd	filter	stdnumb	zp	zper	seeing	skyval	skysig	ul_3sig	ul_5sig	mag	magerr	aper_dia_pix
wtrimCalib-BOAO-GRB221009A-20221018-120733-J-1260.com_mp.fits	BOAO	GRB221009A	288.2631145	19.7729456	2022-10-18	2459870.5	J	9	26.391	0.026	10.74	-2.221	8.203	20.296	19.741	-99	-99	12.51
wtrimCalib-BOAO-GRB221009A-20221018-121958-Ks-1260.com_mp.fits	BOAO	GRB221009A	288.2645255	19.7733891	2022-10-18	2459870.5	Ks	8	26.434	0.026	9.93	-1.608	10.971	20.129	19.575	17.707	0.05	11.58
wtrimCalib-BOAO-GRB221009A-20221019-094213-Ks-840.com_mp.fits	BOAO	GRB221009A	288.2645702	19.7734206	2022-10-19	2459871.5	Ks	7	26.482	0.039	7.57	-1.113	12.229	20.413	19.858	17.87	0.057	8.82
wtrimCalib-BOAO-GRB221009A-20221019-100148-J-840.com_mp.fits	BOAO	GRB221009A	288.2632368	19.7729447	2022-10-19	2459871.5	J	9	26.39	0.048	8.773	-1.624	11.658	20.207	19.653	-99	-99	10.22
wtrimCalib-BOAO-GRB221009A-20221020-094343-Ks-1680.com_mp.fits	BOAO	GRB221009A	288.2646043	19.77343	2022-10-20	2459872.5	Ks	7	26.451	0.068	6.045	-1.168	9.819	20.864	20.309	18.128	0.076	7.04
wtrimCalib-BOAO-GRB221009A-20221022-093933-Ks-1680.com_mp.fits	BOAO	GRB221009A	288.2645963	19.7734023	2022-10-22	2459874.5	Ks	10	26.398	0.084	5.436	-0.639	10.199	20.848	20.293	18.476	0.096	6.34
